ref:mise;name;operator;address;latitude;longitude
45031;AREA BIANCA v.pertini;C.M.M. CENTRALE METANO MARSICA DI MALANDRA GABRIELE S.R.L.;VIA SANDRO PERTINI SNC 67051;*****************;13.428441882133484
58079;Easy service Balsorano;EASY SERVICE S.R.L.;SSV AVEZZANO-SORA KM 38+594  snc 67052;*****************;13.596664640609479
46577;SHELL;DI LORETO EMANUELE;STRADALE 690 KM 8,515 SNC 67053;*****************;13.408906899528688
39377;TD srl ;TD S.R.L.;via Tiburtina Valeria km 126  67043;*****************;13.543382585048676
38377;Stazione Eni PV53935 - Ciclo Otto S.n.c.;CICLO OTTO DI AMOROSI DANTE & CICOLANI PIERLUIGI SOCIETA' IN NOME COLLETTIVO;VIA DELLA CROCE ROSSA S.N. 67100, L'AQUILA (AQ) S.N.C. 67100;*****************;13.393569141626358
38632;ENI PV 06553 - Pietrosanti Michael;PIETROSANTI MICHAEL;S.P. Cicolana snc 67062;*****************;13.36673028767109
46423;7536;T.D.M. S.R.L.;17 KM 103,494 SNC 67034;*****************;13.942468413491838
27070;PIZZOLI FRAZ P.TE CERMONE;SERVIZI & GESTIONI ITALIA S.R.L.;FRAZ P.TE CERMONE  67017;*****************;13.305988868122881
51836;ARCHE' ROCCA DI CAMBIO;ARCHE' S.R.L.;PIAZZA MAGGIORE LOLLI  SNC 67047;*****************;13.488742823260674
34381;IP di IANNINI ANDREA;IANNINI ANDREA;17 dell'Appennino Abruzzese e Appulo Sannitica, Km. 24,697, Scoppito  67019;*****************;13.290639370679855
38076;Sulmona;"IP SERVICES S.R.L.";VIALE MAZZINI snc 67039;*****************;13.928372114896774
20653;Total Erg;DI BIASE ANNA MARIA;circonvallazione occidentale 16, 67039 - -;*****************;13.919885605573654
59051;OK ALTINO;FEA S.R.L.;Via Nazionale 170  66040;*****************;14.347105924720504
5935;ATESSA;"IP SERVICES S.R.L.";Via Colle Pietre 87 66040;*****************;14.432293860118875
44644;D'ARCANGELO LORIS;D'ARCANGELO LORIS;STRADA DELLA PACE 81 66100;*****************;14.159815992984818
20372;MINCARINI MARIO;" MINCARINI MARIO ";VIA G. MARIANI 19 66052;*****************;14.541924744844437
60761;FC;FERRARI OIL - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;Via Nevi 241 66010;*****************;14.278905694958484
50072;Cm srls ;CM - SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;CONTRADA VILLA ELCE SNC 66034;*****************;14.393708630199487
33919;SOC. ITALIANA GAS LIQUIDI SPA di DELL'ELCE AGOSTINO;DELL'ELCE AGOSTINO;CONTRADA VILLA MARTELLI 342 66034;*****************;14.418964236974716
38575;Distributore IP ;KEEPCALM S.R.L.S.;SS 16 ADRIATICA KM 462+428 SNC 66026;*****************;14.351822510361671
50108;ENI DI FRANCESCHINI ROCCA SAN GIOVANNI;"FRANCESCHINI S.A.S. DI FRANCESCHINI DAVIDE & C.";S.P SAN VITO-LANCIANO  66020;*****************;14.43171115826645
23499;Eni PV 26622 Florio Raffaele;FLORIO RAFFAELE;MAZZINI 60 66020;*****************;14.183899084655764
9724;eni station dragonara;DRAGONARA SERVICE S.N.C. DI SANTOLERI CARLO & C.;VIA PIETRO NENNI SNC 66020;*****************;14.167411923408508
49353;ESSO;DI SIPIO ROCCO TRASPORTI S.R.L.;16 Adriatica, Km. 19, sud - 66038;*****************;14.441498175113002
26095;6866 BOLOGNANO PESCARA ;ENIMOOV S.P.A.;Statale 5 Via Tiburtina Valeria, Km. 197, dir. PIANO D'ORTA - 65020;*****************;13.952057361602783
50964;ENI;DILA.OLI S.A.S. DI ANDREOLI PAOLO E DI LAURO GIOVANNI;VIA TEVERE 110 65010;*****************;14.000310151169536
46265;DI CECCO ROBERTO;DI CECCO ROBERTO;VIA RAIALE  65128;*****************;14.19291839003563
52047;Martina REfuel - Pescara Strada Cavone;REFUEL SRL;Strada Fosso Cavone  65129;*****************;14.19740590350823
52048;Martina REfuel - Pescara Via Fonte;REFUEL SRL;Via Fonte Romana 101 65124;*****************;14.186889626290634
11760;SPOLTORE- VIA F.FELLINI 8;SERVIZI & GESTIONI ITALIA S.R.L.; VIA F.FELLINI 8 65010;*****************;14.181535626983646
61538;PETROLITALIA Ancarano;PETROLITALIA GESTIONI SRL;via Piane del Tronto 2 64010;*****************;13.73591423034668
42772;SCUPPA ROBERTO;SCUPPA ROBERTO;LOCALITA' PIANE DI CORTE 5 64020;*****************;13.810173869132996
56132;Stazione di Servizio Comunale - Comune di Castelli;COMUNE DI CASTELLI;VIA F.A. GRUE - S.P. 37  64041;*****************;13.710821812907996
52362;DEMI PETROLI;AUTOFFICINA HOXHA DI HOXHA RAFFAELE;81 Piceno Aprutina, Km. 13750, NORD - 64010;*****************;13.644885074343991
35572;stazione total-erg;VALORI ANDREA;via circonvallazione sud snc 64010;*****************;13.821696639060974
4535;ECOFUEL - GIULIANOVA;METANAUTO GIULIANOVA SRL;VIA CUPA SNC 64021;*****************;13.950801212977126
13419;MARCO SANTUCCI;SANTUCCI MARCO;VIA GALILEI 183 64021;*****************;13.961881561238101
34957;8146;T.D.M. S.R.L.;SETTEMBRINI 97 64046;42.580348954935026;****************
46914;Eni Roseto;PETROLBITUMI - SOCIETA A RESPONSABILITA LIMITATA;STRADA STATALE 150 KM 6+080  64026;*****************;13.960463797416145
21125;A.&G. SRL stazione di servizio ESSO;A. & G. S.R.L.;FRAZIONE SAN NICOLO' A TORDINO SNC, 64020 - -;*****************;13.782866299152374
48063;PEGASOIL CARBURANTI;PEGASOIL CARBURANTI SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;PIANA PICCOLA FORCELLA  SNC 64100;*****************;13.778284415602684
48517;MENNILLI PETROLI TORTORETO;MENNILLI PETROLI S.R.L.;S.P. 8 del salinello km 6+337  64018;*****************;13.875273748309471
