ref:mise;name;operator;address;latitude;longitude
58882;EUROPAM - ANGHIARI;EUROPAM - ANGHIARI;PROVINCIALE DELLA LIBBIA 26 52031;43.5422842;12.0554613
34692;luca viviani;VIVIANI LUCA;VIA LIBBIA KM. 5 + 392 . 52031;43.550305303543844;12.079463079571724
44530;_LATO EST;AL.EN. CARBURANTI SNC DI F.BERGAMASCHI & M.DRAGHI;73 Senese Aretina, Km. 162, Est - ;43.47295419779255;12.055118083953857
44531;_Lato Ovest;AL.EN. CARBURANTI SNC DI F.BERGAMASCHI & M.DRAGHI;73 Senese Aretina, Km. 162, Ovest - ;43.47309434397329;12.054409980773926
5455;34601 BATTIFOLLE;ENI FUEL S.P.A.;Strada Statale 679 Loc. Battifolle Km 7 + 480  52100;43.43977299664931;11.783466004962975
51863;4656 – Arezzo;ENI FUEL S.P.A.;Via Vittorio Veneto, 165  52100;43.45533445156062;11.871353372859971
57084;4672;G.C. SERVICES SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;Via Romana 222  52100;42.81152174509788;12.65625
40021;52166;GESTIONI INNOVATIVE ITALIA S.R.L.;VIA C. COLOMBO 0 52100;43.455339702102975;11.867830082774162
58994;ARCHI;DULAJ ANIFE;GUIDO TARLATI 175 52100;43.46884036230259;11.891611218452454
46476;arezzo;CORO S.R.L.;VIALE SANTA MARGHERITA  52100;43.47328429700239;11.879178311045052
20673;Arezzo;"IP SERVICES S.R.L.";Via Marco Perennio 69/2 52100;43.46941422003049;11.87035471200943
24779;AREZZO - DAL BORRO;"IP SERVICES S.R.L.";VIA DAL BORRO  52100;43.46460389349198;11.868141574239758
30633;AREZZO - MARCO PERENNIO 44/E;"IP SERVICES S.R.L.";VIA MARCO PERENNIO 44/E 52100;43.46920794160213;11.872745541000313
32958;AREZZO - POLICIANO SR 71;"IP SERVICES S.R.L.";VIA POLICIANO SR 71  52020;43.38305321513474;11.86049807605741
56818;Arezzo - San Leo;BEYFIN S.P.A. SOCIETA' BENEFIT;S.S. 69 VALDARNO KM. 62 SNC 52100;43.47618058630879;11.83251784768219
