ref:mise;name;operator;address;latitude;longitude
46476;arezzo;CORO S.R.L.;VIALE SANTA MARGHERITA  52100;*************0239;11.879178311045052
5268;Arezzo - Setteponti;BEYFIN S.P.A. SOCIETA' BENEFIT;VIA SETTEPONTI 41 52100;*************4789;11.868378938622982
57277;RIGUTINO;OLYMPIA SERVICE S.R.L.;S.R. 71 KM 135+462 RIGUTINO S.C. 52100;*************0135;11.879168825157178
45701;SHELL AREZZO - V. ANCONETANA;PAD MULTIENERGY S.P.A;Via Anconetana 102 52100;*************0573;11.901006514993828
46342;STAZIONE DI SERVIZIO IP INDICATORE;MANCINI SASCIA;VIA CASSIA LOC. INDICATORE  SNC 52100;*************1398;11.814084649085999
3537;BADIA AL PINO EST;TICABI S.N.C. DI CANNONI VASCO & C.;Autostrada A1 MILANO-NAPOLI,  Km. 362, dir. nord 52041;*************0068;11.763893933868417
31713;Esso Ricci-Miniati;RICCI - MINIATI DI RICCI BRUNO E C. S.N.C.;VIALE GIACOMO MATTEOTTI 138 52044;*************0034;11.975146398811376
54817;PE.BA. SNC DI BAZZECHI NICO & C:;PE.BA. SNC DI BAZZECHI NICO & C.;viale europa 27 52024;*************9634;11.697657473550521
44853;eni;CENTRO AUTO S.N.C. DI GARINI ARMANDO E C.;VIA ARETINA 45 52048;*************1239;11.727797985076904
46560;IP;D.A. DI DANIELE MANETTI & C. S.A.S.;VIA DELL'ANTELLA 72 50012;*************8379;11.314776688814163
48080; ip mugello fuel station sas;MUGELLO FUEL STATION DI BUCCINO PASQUALE & C. SAS;via del lago  6 50031;*************9402;11.230857790542625
7259;BARBERINO VAL D'ELSA-SS429 KM42 739;SERVIZI & GESTIONI ITALIA S.R.L.;LOC. TRE PIE' S.S.429 KM. 42+739  50021;*************6796;11.120559275150299
11585;CALENZANO-VIA PUCCINI;SERVIZI & GESTIONI ITALIA S.R.L.;VIA PUCCINI S/N 50041;*************1062;11.163649796295203
55672;Stazione Di Servizio Esso;OR RASHID HARUN;Via di Prato 24 50041;*************9123;11.149255813598081
5284;Firenze - Campi Bisenzio;BEYFIN S.P.A. SOCIETA' BENEFIT;VIA VINGONE (S.S. 66)   50013;*************1542;11.102226376533508
46845;ADS EMPOLI;ALA CARBURANTI S.R.L.;VIA CHERUBINI 58 50053, EMPOLI (FI) 58 50053;*************0714;10.96534252166748
51470;Area di Servizio Eni;MLAIKI ISMAIL;VIA LIVORNESE 232 50053;*************9696;10.907800932069247
39113;EMPOLI VIA PROVINCIALE LUCCHESE;SERVIZI & GESTIONI ITALIA S.R.L.;VIA PROVINCIALE LUCCHESE  50053;*************4904;10.916437804698944
55489;Firenze - Empoli;BEYFIN S.P.A. SOCIETA' BENEFIT;PROV.LE LUCCHESE SNC 50053;*************0463;10.91646002061693
20729;Marcignana;"IP SERVICES S.R.L.";Marcignana via prov. Lucchese  50053;*************6452;10.893845558166504
11581;FIGLINE VALDARNO-VIA TOTI 4;SERVIZI & GESTIONI ITALIA S.R.L.;VIA TOTI 4 50063;*************1032;11.483554020524025
13527;metano toscana srl(figline v.a);METANO TOSCANA S.R.L.;TRAVERSA SS 69 snc 50063;*************7838;11.496106088161469
11591; FIRENZE - VIA DELLA NAVE DI BROZZI - ANGOLO VIA SAN DONNINO;SERVIZI & GESTIONI ITALIA S.R.L.;VIA DELLA NAVE DI BROZZI - ANGOLO VIA SAN DONNINO S/N 50145;*************5156;11.164327561855316
15532;Fibbi&Valacchi snc;FIBBI E VALACCHI S.N.C. DI FIBBI PAOLO & C.;VIA SENESE 150 50124;*************8593;11.235971376299858
5527;FIRENZE;"IP SERVICES S.R.L.";Viale Pietro Nenni 16/1 50143;*************2432;11.206875233135179
40878;Firenze - Viale XI Agosto;BEYFIN S.P.A. SOCIETA' BENEFIT;Viale XI Agosto 100 50127;*************4315;11.215470822721272
50787;IP;CALTABIANO FRANCESCO;Piazza Ferrucci  50126;*************4684;11.270572543144226
43543;MANNI ANDREA;MANNI ANDREA;ARETINA 224/A 50136;*************9964;11.301922317790968
13728;ENI;GIUSTI S.A.S. DI GIUSTI ALESSANDRO E C.;VIALE BUOZZI 122/124 50054;*************0501;10.802912685319484
35444;MAC;NERI LUCA;VIA VIA  CESARE   BATTISTI 176 50054, FUCECCHIO (FI) 176 50054;*************3517;10.821073204278946
19977;Quattropetroli;BANTI PAOLO;via Delle Cerbaie Massarella 53 50050;*************2311;10.773982272578223
40162;BARONI DIMITRI;BARONI DIMITRI;VIA IMPRUNETANA PER TAVARNUZZE 8B 50023;*************6948;11.249727085232735
5658;PA.PETROL SNC;PA.PETROL S.N.C. DI MONICA PARRI & C.;LEONARDO DA VINCI 71 50050;*************8904;10.927308797836304
